"Statistic Label","Quarter","Private or Public Sector","UNIT","VALUE"
"Average Weekly Earnings","2022Q4","Public sector","Euro","1133.91"
"Average Weekly Earnings","2022Q4","All sectors","Euro","904.69"
"Average Weekly Earnings","2023Q1","Private sector","Euro","872.52"
"Average Weekly Earnings","2023Q1","Public sector","Euro","1106.8"
"Average Weekly Earnings","2023Q1","All sectors","Euro","926.05"
"Average Weekly Earnings","2023Q2","Private sector","Euro","853.04"
"Average Weekly Earnings","2023Q2","Public sector","Euro","1108.81"
"Average Weekly Earnings","2023Q2","All sectors","Euro","912.12"
"Average Weekly Earnings","2023Q3","Private sector","Euro","843.07"
"Average Weekly Earnings","2023Q3","Public sector","Euro","1123.81"
"Average Weekly Earnings","2023Q3","All sectors","Euro","907.1"
"Average Weekly Earnings","2023Q4","Private sector","Euro","870.1"
"Average Weekly Earnings","2023Q4","Public sector","Euro","1119.37"
"Average Weekly Earnings","2023Q4","All sectors","Euro","927.98"
"Average Weekly Earnings","2024Q1","Private sector","Euro","918.41"
"Average Weekly Earnings","2024Q1","Public sector","Euro","1150.91"
"Average Weekly Earnings","2024Q1","All sectors","Euro","972.2"
"Average Weekly Earnings","2024Q2","Private sector","Euro","903.4"
"Average Weekly Earnings","2024Q2","Public sector","Euro","1159.09"
"Average Weekly Earnings","2024Q2","All sectors","Euro","964.54"
"Average Weekly Earnings","2024Q3","Private sector","Euro","888.24"
"Average Weekly Earnings","2024Q3","Public sector","Euro","1176.52"
"Average Weekly Earnings","2024Q3","All sectors","Euro","956.56"
"Average Weekly Earnings","2024Q4","Private sector","Euro","916.2"
"Average Weekly Earnings","2024Q4","Public sector","Euro","1186.72"
"Average Weekly Earnings","2024Q4","All sectors","Euro","981.45"
"Average Weekly Earnings","2025Q1","Private sector","Euro","970.17"
"Average Weekly Earnings","2025Q1","Public sector","Euro","1223.89"
"Average Weekly Earnings","2025Q1","All sectors","Euro","1029.81"
"Average Weekly Earnings","2025Q2","Private sector","Euro","941.59"
"Average Weekly Earnings","2025Q2","Public sector","Euro","1221.9"
"Average Weekly Earnings","2025Q2","All sectors","Euro","1007.58"
"Average Weekly Earnings","2025Q3","Private sector","Euro","919.85"
"Average Weekly Earnings","2025Q3","Public sector","Euro","1245.98"
"Average Weekly Earnings","2025Q3","All sectors","Euro","996.1"
"Average Weekly Earnings","2025Q4","Private sector","Euro","942.33"
"Average Weekly Earnings","2025Q4","Public sector","Euro","1226.41"
"Average Weekly Earnings","2025Q4","All sectors","Euro","1011.81"
"Average Weekly Earnings","2026Q1","Private sector","Euro","1007.19"
"Average Weekly Earnings","2026Q1","Public sector","Euro","1277.27"
"Average Weekly Earnings","2026Q1","All sectors","Euro","1074.61"
"Average Hourly Earnings","2008Q1","Private sector","Euro","19.46"
"Average Hourly Earnings","2008Q1","Public sector","Euro","28.67"
"Average Hourly Earnings","2008Q1","All sectors","Euro","21.56"
"Average Hourly Earnings","2008Q2","Private sector","Euro","19.21"
"Average Hourly Earnings","2008Q2","Public sector","Euro","29.15"
"Average Hourly Earnings","2008Q2","All sectors","Euro","21.5"
"Average Hourly Earnings","2008Q3","Private sector","Euro","18.82"
"Average Hourly Earnings","2008Q3","Public sector","Euro","29.05"
"Average Hourly Earnings","2008Q3","All sectors","Euro","21.2"
"Average Hourly Earnings","2008Q4","Private sector","Euro","19.72"
"Average Hourly Earnings","2008Q4","Public sector","Euro","29.95"
"Average Hourly Earnings","2008Q4","All sectors","Euro","22.24"
"Average Hourly Earnings","2009Q1","Private sector","Euro","19.88"
"Average Hourly Earnings","2009Q1","Public sector","Euro","29.97"
"Average Hourly Earnings","2009Q1","All sectors","Euro","22.44"
"Average Hourly Earnings","2009Q2","Private sector","Euro","19.29"
"Average Hourly Earnings","2009Q2","Public sector","Euro","30.09"
"Average Hourly Earnings","2009Q2","All sectors","Euro","22"
"Average Hourly Earnings","2009Q3","Private sector","Euro","19.06"
"Average Hourly Earnings","2009Q3","Public sector","Euro","30.25"
"Average Hourly Earnings","2009Q3","All sectors","Euro","21.88"
"Average Hourly Earnings","2009Q4","Private sector","Euro","19.82"
"Average Hourly Earnings","2009Q4","Public sector","Euro","29.95"
"Average Hourly Earnings","2009Q4","All sectors","Euro","22.5"
"Average Hourly Earnings","2010Q1","Private sector","Euro","19.85"
"Average Hourly Earnings","2010Q1","Public sector","Euro","28.71"
"Average Hourly Earnings","2010Q1","All sectors","Euro","22.21"
"Average Hourly Earnings","2010Q2","Private sector","Euro","19.52"
"Average Hourly Earnings","2010Q2","Public sector","Euro","28.96"
"Average Hourly Earnings","2010Q2","All sectors","Euro","22.03"
"Average Hourly Earnings","2010Q3","Private sector","Euro","19.01"
"Average Hourly Earnings","2010Q3","Public sector","Euro","29.13"
"Average Hourly Earnings","2010Q3","All sectors","Euro","21.78"
"Average Hourly Earnings","2010Q4","Private sector","Euro","19.82"
"Average Hourly Earnings","2010Q4","Public sector","Euro","28.94"
"Average Hourly Earnings","2010Q4","All sectors","Euro","22.14"
"Average Hourly Earnings","2011Q1","Private sector","Euro","19.74"
"Average Hourly Earnings","2011Q1","Public sector","Euro","28.9"
"Average Hourly Earnings","2011Q1","All sectors","Euro","22.18"
"Average Hourly Earnings","2011Q2","Private sector","Euro","19.43"
"Average Hourly Earnings","2011Q2","Public sector","Euro","29.06"
"Average Hourly Earnings","2011Q2","All sectors","Euro","21.9"
"Average Hourly Earnings","2011Q3","Private sector","Euro","18.99"
